Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
0.05,-0.08,0.12,-0.09,-0.22,0.04,0.18,0.20,0.17,-0.13,-0.14,-0.13,-0.05,-0.24,0.19,0.33,0.46,0.29,0.49,0.04,1.22,-0.00,0.40,-0.32,-0.51,-0.11,0.56
0.03,0.18,-0.06,0.15,0.37,-0.06,-0.09,-0.18,-0.06,-0.24,-0.34,-0.19,0.38,0.62,0.07,-0.04,-0.09,-0.02,0.20,0.44,-0.18,-0.09,0.08,-0.22,-0.86,-0.80,-0.70
0.17,0.16,0.18,0.20,0.25,0.15,0.15,-0.01,0.20,0.01,-0.00,0.02,0.30,0.34,0.26,0.21,-0.01,0.27,-0.07,0.23,-0.56,-0.14,-0.15,-0.13,0.59,0.52,-0.26
0.19,0.37,0.08,0.30,0.53,0.07,0.08,0.05,0.09,-0.02,-0.04,-0.01,0.45,0.70,0.13,0.14,0.18,0.13,0.20,0.59,-0.42,0.69,0.98,0.45,0.50,-0.07,-0.81
-0.01,0.03,-0.04,0.00,0.10,-0.09,-0.03,-0.10,-0.00,-0.21,-0.37,-0.12,0.12,0.25,-0.05,0.07,0.14,0.05,0.30,0.64,-0.25,-0.11,0.06,-0.25,0.04,0.15,0.22
0.06,0.14,0.02,0.12,0.21,0.03,0.01,-0.01,0.01,-0.03,-0.09,-0.00,0.18,0.29,0.04,0.04,0.12,0.02,0.25,0.57,-0.25,0.48,0.68,0.32,0.39,0.26,-0.51
0.24,0.17,0.29,0.36,0.40,0.32,0.13,-0.27,0.26,0.18,0.11,0.22,0.42,0.48,0.34,0.13,-0.53,0.31,0.67,0.74,0.54,-0.78,-1.90,0.11,0.66,0.70,0.03
0.09,-0.03,0.16,0.10,0.02,0.18,0.07,-0.11,0.14,-0.04,-0.04,-0.04,0.17,0.03,0.34,0.14,-0.15,0.22,0.56,0.35,0.91,-0.35,-0.33,-0.38,0.25,0.31,-0.20
0.18,-0.02,0.30,0.13,0.06,0.20,0.23,-0.18,0.37,0.17,0.09,0.20,0.10,0.04,0.17,0.28,-0.38,0.46,-0.10,-0.11,-0.10,-0.17,-0.58,0.16,-0.01,-0.21,-1.25
0.17,0.20,0.15,0.24,0.37,0.11,0.10,-0.13,0.18,0.13,0.07,0.16,0.28,0.47,0.04,0.10,-0.31,0.20,0.03,0.33,-0.43,-0.47,-0.45,-0.48,1.57,1.34,-0.29
0.17,-0.01,0.27,0.20,0.07,0.31,0.14,-0.17,0.24,0.18,0.14,0.20,0.19,0.05,0.35,0.14,-0.42,0.29,1.39,1.24,1.63,-0.77,-0.73,-0.80,0.43,0.06,-0.73
0.20,0.24,0.18,0.34,0.38,0.30,0.06,-0.03,0.09,0.00,-0.08,0.04,0.53,0.58,0.46,0.08,-0.13,0.13,0.50,0.32,0.79,0.01,0.41,-0.30,0.50,0.57,-0.68
0.18,0.28,0.12,0.28,0.58,0.00,0.08,-0.29,0.20,0.06,0.06,0.06,0.39,0.76,-0.08,0.09,-0.60,0.28,-1.48,-0.89,-2.43,-0.30,-0.74,0.05,0.36,0.10,-0.89
0.24,0.35,0.17,0.35,0.36,0.33,0.13,0.32,0.07,0.12,0.05,0.16,0.48,0.48,0.48,0.12,0.50,0.02,1.20,0.87,1.72,1.01,1.33,0.76,-1.20,-0.74,-0.18
0.23,0.16,0.27,0.23,0.07,0.38,0.24,0.34,0.20,0.06,0.05,0.07,0.34,0.09,0.65,0.31,0.54,0.24,-0.07,0.04,-0.23,0.48,1.04,0.04,0.95,0.82,0.51
0.31,0.38,0.27,0.25,0.16,0.34,0.37,0.79,0.23,0.26,0.22,0.28,0.23,0.13,0.37,0.44,1.29,0.21,0.90,0.74,1.15,1.76,2.82,0.92,-0.58,-0.21,0.51
0.31,0.28,0.33,0.23,0.27,0.19,0.40,0.31,0.43,0.17,0.07,0.23,0.27,0.34,0.18,0.50,0.48,0.50,0.61,0.69,0.49,0.59,0.56,0.61,1.06,0.86,1.15
0.22,0.27,0.19,0.31,0.36,0.26,0.13,0.10,0.14,0.32,0.26,0.35,0.24,0.33,0.14,0.08,0.14,0.07,-0.02,0.01,-0.07,-0.08,0.28,-0.36,1.00,0.74,0.39
0.17,-0.03,0.29,0.06,-0.01,0.11,0.29,-0.07,0.42,0.15,0.02,0.22,-0.01,-0.04,0.03,0.38,-0.07,0.51,0.26,0.08,0.55,0.07,-0.48,0.51,-0.03,-0.14,-0.02
0.25,0.12,0.32,0.15,0.04,0.25,0.34,0.25,0.37,0.15,0.01,0.23,0.13,0.02,0.26,0.46,0.54,0.44,0.20,0.04,0.46,1.38,1.39,1.36,0.32,0.45,0.13
0.13,0.04,0.19,-0.10,-0.31,0.09,0.37,0.72,0.25,0.15,0.13,0.17,-0.21,-0.40,0.04,0.45,1.07,0.29,1.36,0.86,2.16,1.44,1.73,1.21,-1.46,-0.72,1.20
0.25,0.28,0.24,0.21,0.18,0.24,0.29,0.46,0.23,0.21,0.12,0.26,0.22,0.22,0.23,0.32,0.69,0.22,1.26,1.12,1.47,1.14,1.33,0.98,-0.61,0.06,0.65
0.15,-0.10,0.29,0.03,-0.22,0.27,0.27,0.14,0.31,0.37,0.25,0.43,-0.14,-0.35,0.13,0.20,-0.01,0.26,1.05,0.41,2.09,0.27,0.01,0.49,0.13,0.32,-0.03
0.29,0.44,0.20,0.43,0.52,0.35,0.15,0.29,0.10,0.35,0.30,0.38,0.47,0.61,0.31,0.04,0.25,-0.01,0.76,0.86,0.60,0.50,0.55,0.46,0.64,1.01,0.08
0.18,0.10,0.22,0.10,-0.07,0.27,0.25,0.42,0.19,0.37,0.28,0.41,-0.05,-0.20,0.15,0.20,0.59,0.09,0.25,0.36,0.08,0.57,1.36,-0.05,-0.76,-0.27,-0.07
0.09,0.00,0.14,0.08,-0.06,0.21,0.10,0.12,0.09,0.17,0.04,0.24,0.02,-0.10,0.17,0.07,0.19,0.04,0.64,0.70,0.53,0.11,0.48,-0.18,-0.17,-0.12,-0.68
0.15,0.11,0.17,0.28,0.16,0.40,0.01,0.01,0.01,0.16,0.11,0.18,0.34,0.17,0.55,-0.05,-0.05,-0.05,0.83,0.69,1.05,-0.03,-0.11,0.04,0.26,0.47,-0.13
0.22,0.23,0.22,0.36,0.35,0.38,0.08,-0.00,0.11,0.17,0.17,0.16,0.44,0.39,0.51,0.06,-0.09,0.10,0.57,0.55,0.62,-0.91,-0.90,-0.93,0.18,0.07,0.38
0.03,-0.06,0.09,0.09,0.00,0.17,-0.02,-0.19,0.03,-0.05,-0.09,-0.02,0.17,0.05,0.32,-0.03,-0.33,0.06,0.30,0.05,0.69,-0.82,-1.20,-0.52,-0.29,-0.18,-0.04
0.11,0.03,0.16,0.09,0.10,0.08,0.13,-0.09,0.21,0.14,0.04,0.19,0.07,0.12,0.01,0.12,-0.23,0.21,0.40,0.65,-0.02,-0.70,-1.05,-0.43,0.66,0.63,0.45
0.11,0.02,0.17,0.21,0.26,0.16,0.02,-0.45,0.17,0.08,-0.13,0.18,0.26,0.36,0.13,0.00,-0.64,0.17,0.86,1.14,0.40,0.10,-0.56,0.62,0.58,0.45,-0.58
0.19,0.21,0.18,0.27,0.26,0.27,0.11,0.10,0.12,0.10,-0.03,0.17,0.33,0.36,0.31,0.14,0.22,0.12,0.65,1.00,0.07,0.52,0.33,0.66,-0.24,-0.24,0.43
0.30,0.24,0.33,0.44,0.38,0.50,0.15,-0.05,0.22,0.25,0.19,0.28,0.53,0.44,0.64,0.12,-0.22,0.21,1.46,1.42,1.53,-0.25,-0.23,-0.27,0.82,1.20,-0.77
0.21,0.15,0.25,0.29,0.17,0.40,0.14,0.09,0.16,0.23,0.18,0.25,0.31,0.17,0.49,0.10,0.02,0.12,0.85,0.65,1.17,0.13,0.06,0.18,-0.08,0.03,-0.11
0.37,0.50,0.29,0.49,0.57,0.41,0.25,0.35,0.21,0.22,0.11,0.28,0.65,0.75,0.51,0.24,0.45,0.18,0.48,0.91,-0.22,0.53,1.06,0.11,0.64,0.46,0.47
0.19,0.13,0.23,0.19,0.12,0.26,0.19,0.14,0.21,0.21,0.16,0.24,0.19,0.11,0.28,0.16,0.10,0.18,1.22,1.12,1.38,0.01,0.21,-0.14,-0.33,-0.20,-0.30
0.21,0.43,0.08,0.44,0.55,0.34,-0.01,0.21,-0.09,0.16,-0.04,0.26,0.54,0.71,0.32,-0.05,0.47,-0.19,0.82,1.09,0.38,0.44,1.01,-0.01,-0.50,-0.33,0.48
0.32,0.33,0.31,0.49,0.40,0.58,0.15,0.21,0.13,0.23,0.18,0.26,0.62,0.48,0.80,0.11,0.21,0.09,0.16,-0.11,0.59,0.14,0.36,-0.03,1.49,1.14,0.19
0.15,0.01,0.23,0.18,-0.05,0.40,0.12,0.14,0.12,0.07,-0.01,0.11,0.25,-0.04,0.62,0.14,0.18,0.13,0.73,0.02,1.88,-0.14,0.13,-0.35,0.26,0.47,0.19
0.05,-0.11,0.15,0.15,0.03,0.27,-0.05,-0.38,0.06,0.06,-0.03,0.11,0.18,0.01,0.39,-0.08,-0.56,0.05,0.41,0.26,0.65,-0.81,-0.97,-0.68,0.16,0.56,-0.47
0.02,-0.18,0.14,-0.11,-0.26,0.03,0.16,-0.03,0.22,-0.08,-0.24,0.01,-0.14,-0.27,0.03,0.29,0.17,0.32,0.01,0.00,0.02,-0.19,-0.52,0.07,-0.87,-0.33,1.08
-0.19,-0.50,-0.01,-0.19,-0.32,-0.07,-0.18,-0.85,0.04,-0.17,-0.24,-0.14,-0.23,-0.36,-0.06,-0.17,-1.33,0.14,0.03,-0.07,0.20,-1.86,-3.13,-0.84,-0.57,-0.33,-0.12
-0.06,-0.28,0.08,0.01,-0.18,0.18,-0.12,-0.48,0.00,0.07,-0.05,0.14,-0.06,-0.24,0.17,-0.19,-0.78,-0.03,0.36,0.22,0.57,-0.99,-1.60,-0.51,-1.41,-0.77,-0.65
0.12,-0.02,0.21,0.13,0.11,0.16,0.11,-0.27,0.24,-0.03,-0.12,0.01,0.22,0.17,0.28,0.18,-0.37,0.33,0.10,0.06,0.17,-0.27,-0.99,0.30,0.34,0.04,-0.66
0.25,0.15,0.31,0.23,0.09,0.37,0.26,0.27,0.26,0.15,0.07,0.19,0.29,0.10,0.52,0.31,0.41,0.29,0.33,0.07,0.75,0.45,0.71,0.24,0.20,0.36,0.95
0.16,0.28,0.09,0.30,0.37,0.24,0.01,0.09,-0.02,0.22,0.14,0.26,0.34,0.45,0.21,-0.09,0.06,-0.13,0.01,0.24,-0.37,0.11,0.10,0.13,0.22,0.24,-0.15
0.10,0.02,0.14,0.12,-0.10,0.34,0.07,0.25,0.01,0.27,0.21,0.30,0.04,-0.22,0.37,-0.03,0.32,-0.12,-1.00,-1.21,-0.65,0.50,1.18,-0.03,0.38,0.33,-0.29
0.31,0.27,0.33,0.40,0.23,0.56,0.21,0.35,0.17,0.28,0.18,0.33,0.49,0.29,0.74,0.16,0.37,0.10,1.28,1.02,1.71,0.57,0.87,0.34,1.29,1.47,0.24
0.19,0.02,0.29,0.17,-0.15,0.48,0.21,0.35,0.16,0.52,0.62,0.47,-0.02,-0.42,0.49,0.06,0.19,0.02,1.27,0.78,2.04,-0.25,0.00,-0.44,0.81,0.68,0.13
0.22,0.24,0.22,0.39,0.26,0.52,0.06,0.19,0.01,0.46,0.42,0.49,0.34,0.19,0.53,-0.14,0.05,-0.19,1.25,1.03,1.60,-0.06,0.32,-0.37,-0.82,-0.40,0.14
0.36,0.48,0.30,0.57,0.66,0.47,0.16,0.12,0.18,0.38,0.32,0.41,0.65,0.79,0.47,0.06,-0.07,0.10,1.33,1.54,0.98,-0.32,-0.75,0.02,0.29,0.43,1.43
0.21,0.18,0.23,0.16,0.20,0.12,0.26,0.13,0.31,0.18,0.08,0.23,0.15,0.26,-0.00,0.31,0.11,0.36,1.31,1.49,1.02,-0.05,-0.28,0.13,-0.76,-0.29,0.62
0.23,0.27,0.21,0.30,0.25,0.34,0.16,0.31,0.12,0.28,0.33,0.25,0.30,0.26,0.35,0.11,0.22,0.09,0.68,0.45,1.05,0.30,0.22,0.36,0.15,0.23,0.07
0.28,0.32,0.26,0.34,0.29,0.40,0.22,0.38,0.16,0.32,0.26,0.35,0.36,0.31,0.43,0.15,0.43,0.08,0.39,0.25,0.61,0.04,0.15,-0.04,0.59,0.40,0.50
0.14,0.13,0.15,0.17,0.14,0.20,0.11,0.12,0.11,0.18,0.23,0.15,0.17,0.12,0.23,0.07,-0.00,0.09,0.27,0.31,0.21,0.14,-0.56,0.69,-0.07,0.16,0.23
0.33,0.40,0.29,0.33,0.41,0.25,0.33,0.37,0.32,0.29,0.32,0.28,0.33,0.43,0.20,0.37,0.44,0.35,-0.20,0.08,-0.65,0.37,0.72,0.08,0.75,0.79,0.60
0.36,0.56,0.25,0.39,0.57,0.22,0.33,0.54,0.26,0.11,0.19,0.08,0.55,0.72,0.33,0.43,0.74,0.35,0.69,0.87,0.40,1.14,1.27,1.04,0.84,0.71,0.86
0.32,0.51,0.20,0.40,0.59,0.22,0.23,0.35,0.19,0.19,0.24,0.16,0.49,0.70,0.24,0.27,0.47,0.22,1.33,1.66,0.82,0.56,0.59,0.54,0.64,0.33,0.69
0.19,0.42,0.05,0.29,0.39,0.19,0.10,0.50,-0.04,0.09,0.17,0.05,0.35,0.42,0.27,0.13,0.87,-0.07,1.55,1.58,1.49,1.08,1.86,0.47,-0.11,0.25,0.68
0.20,0.18,0.21,0.28,0.17,0.39,0.12,0.22,0.09,0.02,0.27,-0.11,0.39,0.07,0.79,0.21,0.33,0.18,0.76,-0.44,2.68,0.07,0.01,0.13,2.18,1.47,0.83
0.24,0.46,0.11,0.48,0.59,0.37,0.00,0.22,-0.07,0.16,0.40,0.05,0.63,0.61,0.66,-0.07,0.18,-0.14,1.82,1.46,2.38,0.02,0.07,-0.02,0.00,0.15,0.20
0.20,0.31,0.15,0.29,0.39,0.20,0.12,0.15,0.11,-0.04,0.06,-0.10,0.50,0.49,0.52,0.17,0.24,0.15,1.04,0.76,1.48,0.00,0.18,-0.14,-0.03,0.00,0.53
0.14,0.16,0.13,0.23,0.21,0.24,0.06,0.06,0.07,-0.10,-0.09,-0.11,0.37,0.30,0.47,0.17,0.21,0.16,-0.13,-0.67,0.74,0.06,0.13,0.01,1.96,1.36,0.17
-0.02,-0.07,0.00,0.16,0.21,0.11,-0.21,-0.61,-0.07,-0.17,-0.23,-0.14,0.32,0.35,0.29,-0.21,-0.90,-0.03,0.71,0.64,0.82,-1.19,-1.74,-0.76,0.75,0.76,-0.81
0.14,0.25,0.07,0.21,0.38,0.05,0.06,-0.00,0.08,0.07,0.05,0.08,0.29,0.49,0.04,0.05,-0.04,0.07,0.51,0.86,-0.05,-0.14,-0.40,0.06,0.56,0.45,-0.31
0.15,0.15,0.15,0.22,0.23,0.21,0.08,-0.02,0.12,0.25,0.31,0.21,0.18,0.19,0.17,0.02,-0.24,0.09,0.11,0.07,0.18,-0.84,-1.53,-0.29,1.02,0.80,0.10
0.21,0.34,0.13,0.16,0.17,0.15,0.25,0.67,0.11,0.17,0.17,0.17,0.16,0.18,0.13,0.29,1.06,0.09,0.29,0.47,-0.00,0.85,1.77,0.11,0.11,-0.04,1.18
0.25,0.29,0.23,0.31,0.39,0.23,0.19,0.09,0.23,0.12,0.05,0.15,0.42,0.50,0.31,0.23,0.13,0.25,1.36,1.52,1.10,-0.09,-0.41,0.17,-0.99,-0.49,0.85
0.32,0.36,0.29,0.28,0.29,0.27,0.35,0.49,0.31,0.29,0.27,0.30,0.28,0.30,0.26,0.38,0.67,0.31,0.51,0.23,0.96,0.59,0.51,0.65,-0.66,-0.28,1.06
0.20,0.32,0.13,0.21,0.26,0.16,0.19,0.45,0.11,0.14,0.10,0.16,0.26,0.32,0.18,0.20,0.69,0.07,0.53,0.38,0.76,0.36,0.67,0.11,0.49,0.21,1.38
0.22,0.37,0.13,0.45,0.63,0.27,-0.01,-0.14,0.04,0.36,0.27,0.40,0.49,0.75,0.16,-0.19,-0.47,-0.12,0.86,0.99,0.65,-0.86,-1.06,-0.70,1.24,0.91,-0.37
0.42,0.76,0.22,0.60,0.91,0.31,0.24,0.45,0.17,0.50,0.47,0.52,0.67,1.07,0.16,0.08,0.41,-0.00,0.36,0.93,-0.55,0.38,0.71,0.12,-0.07,-0.19,0.07
0.25,0.38,0.17,0.45,0.52,0.38,0.04,0.11,0.02,0.28,0.42,0.21,0.52,0.51,0.53,-0.07,-0.04,-0.07,0.79,0.06,1.95,-0.29,-0.42,-0.19,-0.53,-0.36,0.70
0.28,0.54,0.13,0.43,0.58,0.29,0.12,0.44,0.01,0.15,0.24,0.10,0.56,0.67,0.43,0.13,0.67,-0.02,0.22,0.15,0.32,0.32,0.74,-0.01,2.16,1.19,0.91
0.21,0.48,0.05,0.35,0.52,0.19,0.06,0.39,-0.05,0.08,0.21,0.01,0.50,0.63,0.33,0.05,0.51,-0.07,1.76,1.89,1.56,0.29,0.72,-0.04,0.02,0.28,0.72
0.21,0.50,0.04,0.23,0.39,0.09,0.18,0.71,0.01,0.15,0.27,0.09,0.26,0.43,0.06,0.21,1.08,-0.02,-0.18,-0.18,-0.19,0.96,2.32,-0.11,0.66,0.53,0.85
0.20,0.34,0.12,0.28,0.34,0.22,0.13,0.33,0.06,0.18,0.28,0.13,0.34,0.39,0.27,0.10,0.32,0.04,1.01,0.65,1.59,0.76,1.25,0.36,0.21,0.30,-1.15
0.22,0.34,0.14,0.22,0.29,0.16,0.21,0.44,0.13,0.20,0.25,0.17,0.23,0.32,0.13,0.22,0.55,0.13,0.71,0.71,0.69,0.93,1.46,0.52,0.47,0.49,0.40
0.22,0.31,0.16,0.19,0.31,0.09,0.24,0.31,0.22,0.02,0.11,-0.03,0.33,0.42,0.21,0.32,0.36,0.31,0.54,0.51,0.59,0.10,0.25,-0.02,0.80,0.87,1.07
0.17,0.31,0.08,0.18,0.24,0.12,0.16,0.45,0.06,0.13,0.23,0.08,0.22,0.29,0.15,0.15,0.50,0.06,-0.30,-0.38,-0.19,-0.65,-0.44,-0.81,0.51,0.57,1.08
0.19,0.35,0.10,0.24,0.40,0.08,0.14,0.25,0.11,-0.11,0.05,-0.19,0.44,0.53,0.31,0.26,0.35,0.23,0.85,0.93,0.71,0.12,0.10,0.13,1.40,1.07,1.07
0.11,0.21,0.04,0.09,0.19,-0.00,0.12,0.26,0.08,-0.10,0.08,-0.19,0.20,0.23,0.15,0.23,0.40,0.18,0.46,0.50,0.39,0.69,0.94,0.50,0.34,0.57,0.22
0.01,0.03,-0.01,0.05,0.15,-0.04,-0.04,-0.21,0.01,-0.23,0.01,-0.35,0.18,0.17,0.19,0.08,-0.32,0.18,0.73,0.55,1.01,-0.57,-1.03,-0.21,0.03,-0.04,0.13
-0.23,-0.28,-0.20,-0.29,-0.35,-0.24,-0.17,-0.16,-0.18,-0.34,-0.10,-0.47,-0.26,-0.44,-0.03,-0.10,-0.20,-0.07,-0.15,-0.04,-0.32,-0.70,-1.03,-0.45,-0.93,-1.07,0.82
-0.19,-0.20,-0.19,-0.04,-0.05,-0.02,-0.35,-0.49,-0.30,-0.48,-0.24,-0.60,0.19,-0.00,0.43,-0.27,-0.65,-0.17,0.05,-0.25,0.52,-0.82,-1.32,-0.42,0.20,-0.02,-0.47
-0.02,0.52,-0.34,0.29,0.84,-0.23,-0.33,-0.09,-0.41,-0.53,-0.26,-0.68,0.69,1.14,0.13,-0.19,0.22,-0.30,0.27,0.56,-0.20,-0.05,0.49,-0.48,-0.66,-0.67,0.08
0.00,0.21,-0.11,0.19,0.26,0.12,-0.18,0.09,-0.27,-0.48,-0.29,-0.57,0.51,0.44,0.61,-0.00,0.42,-0.12,0.30,-0.02,0.81,1.10,1.71,0.61,-0.21,-0.14,-0.50
-0.17,0.00,-0.28,-0.09,0.07,-0.25,-0.25,-0.12,-0.30,-0.46,-0.30,-0.54,0.08,0.16,-0.03,-0.12,0.09,-0.18,0.90,1.01,0.72,0.38,0.38,0.38,-0.51,-0.45,-0.16
-0.10,-0.06,-0.13,-0.09,0.06,-0.24,-0.12,-0.28,-0.06,-0.18,-0.03,-0.25,-0.04,0.09,-0.20,-0.09,-0.48,0.01,0.00,0.07,-0.10,-1.29,-1.79,-0.90,-0.32,-0.35,0.84
0.01,0.11,-0.05,0.01,0.09,-0.05,0.01,0.16,-0.05,-0.06,0.06,-0.13,0.08,0.12,0.02,0.02,0.18,-0.02,0.06,0.01,0.15,-0.09,-0.31,0.08,-0.00,-0.13,0.06
-0.03,-0.01,-0.04,0.07,0.21,-0.06,-0.13,-0.42,-0.03,-0.11,0.06,-0.20,0.19,0.29,0.07,-0.17,-0.90,0.03,0.56,0.45,0.75,-0.66,-1.50,0.01,-0.08,-0.24,-1.14
0.17,0.20,0.14,0.17,0.16,0.18,0.16,0.29,0.12,0.09,0.23,0.02,0.23,0.15,0.32,0.18,0.29,0.15,0.69,0.42,1.13,0.04,-0.08,0.13,-0.01,0.02,0.79
0.15,0.40,0.01,0.24,0.48,0.00,0.07,0.24,0.01,0.11,0.25,0.05,0.34,0.59,0.02,0.01,0.16,-0.03,0.25,0.60,-0.32,-0.52,-0.69,-0.38,0.38,0.05,1.31
0.19,0.37,0.08,0.27,0.50,0.06,0.10,0.12,0.09,0.12,0.30,0.02,0.35,0.56,0.08,0.09,0.00,0.12,0.43,0.59,0.18,-0.35,-0.49,-0.24,0.35,0.10,0.17
0.12,0.15,0.11,0.35,0.26,0.44,-0.10,-0.07,-0.11,-0.03,0.17,-0.13,0.55,0.26,0.91,-0.14,-0.19,-0.12,0.87,0.41,1.61,-0.82,-0.96,-0.70,0.13,0.18,0.17
0.18,0.33,0.08,0.33,0.46,0.22,0.02,0.09,-0.01,-0.12,0.13,-0.25,0.58,0.54,0.64,0.08,0.13,0.07,1.12,0.95,1.40,-0.18,-0.19,-0.18,0.44,0.36,0.52
0.20,0.49,0.02,0.46,0.66,0.27,-0.07,0.16,-0.15,-0.06,0.20,-0.20,0.70,0.73,0.67,-0.04,0.36,-0.14,0.62,0.23,1.25,-0.20,0.43,-0.69,0.78,0.71,0.50
0.13,0.33,0.00,0.21,0.32,0.10,0.04,0.35,-0.06,-0.15,0.10,-0.27,0.43,0.39,0.48,0.11,0.56,-0.02,0.10,-0.06,0.36,0.54,0.81,0.32,0.65,0.36,0.52
0.09,0.25,-0.00,0.15,0.27,0.03,0.03,0.19,-0.02,0.05,0.14,0.00,0.19,0.29,0.06,0.03,0.29,-0.04,0.27,0.64,-0.33,-0.32,-0.06,-0.52,-0.16,-0.09,0.01
0.08,0.18,0.03,0.05,0.08,0.02,0.12,0.36,0.04,-0.01,0.06,-0.04,0.06,0.07,0.06,0.21,0.69,0.08,0.34,0.06,0.80,0.93,1.61,0.40,0.23,0.34,-0.53
0.00,0.05,-0.02,-0.09,-0.09,-0.10,0.10,0.31,0.03,0.15,0.26,0.09,-0.23,-0.21,-0.26,0.08,0.38,0.00,0.03,0.21,-0.26,0.35,0.72,0.05,-0.42,-0.32,0.39
0.37,0.35,0.38,0.12,0.04,0.19,0.62,0.96,0.51,0.48,0.52,0.46,-0.08,-0.13,-0.01,0.70,1.34,0.52,0.12,-0.11,0.49,1.86,2.83,1.09,-0.81,-0.48,1.19
0.19,0.26,0.15,0.14,0.04,0.23,0.24,0.68,0.10,0.39,0.49,0.33,-0.02,-0.12,0.11,0.20,0.86,0.02,-0.04,-0.07,0.01,0.61,0.65,0.58,-0.35,-0.38,2.02
0.41,0.57,0.31,0.47,0.62,0.32,0.35,0.45,0.31,0.57,0.69,0.50,0.39,0.60,0.12,0.26,0.26,0.26,0.48,0.81,-0.04,-0.23,0.09,-0.48,0.56,0.49,0.87
0.27,0.20,0.32,0.26,0.19,0.33,0.29,0.23,0.31,0.35,0.39,0.32,0.18,0.10,0.28,0.29,0.15,0.33,0.54,0.30,0.92,0.20,0.16,0.23,-1.30,-0.64,0.37
0.39,0.51,0.32,0.34,0.40,0.28,0.44,0.72,0.35,0.43,0.47,0.41,0.31,0.38,0.21,0.44,0.92,0.31,0.35,-0.05,1.00,1.24,1.37,1.13,1.25,0.74,1.24
