Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
-0.09,-0.20,-0.03,-0.13,-0.22,-0.05,-0.06,-0.17,-0.02,-0.28,-0.31,-0.26,-0.08,-0.17,0.03,0.08,-0.10,0.13,-0.96,-0.81,-1.21,-0.43,-0.82,-0.12,0.26,0.53,1.16
-0.14,-0.20,-0.10,-0.15,-0.26,-0.05,-0.12,-0.07,-0.14,-0.28,-0.23,-0.31,-0.08,-0.22,0.11,-0.05,-0.08,-0.05,-0.07,-0.47,0.57,0.35,0.09,0.55,0.87,0.42,-0.19
-0.32,-0.38,-0.28,-0.34,-0.33,-0.35,-0.29,-0.49,-0.23,-0.41,-0.56,-0.34,-0.29,-0.22,-0.39,-0.24,-0.52,-0.16,0.08,0.74,-0.97,-0.42,-0.86,-0.07,-1.95,-1.51,-0.60
-0.14,-0.36,-0.00,-0.17,-0.30,-0.05,-0.10,-0.47,0.03,-0.17,-0.35,-0.07,-0.18,-0.28,-0.05,-0.06,-0.59,0.08,-0.22,-0.32,-0.05,-0.63,-1.09,-0.26,-0.52,-0.34,-0.37
-0.06,0.05,-0.12,-0.03,0.05,-0.12,-0.08,0.06,-0.13,-0.06,-0.03,-0.07,-0.03,0.08,-0.16,-0.08,0.14,-0.14,0.18,0.05,0.37,0.70,1.02,0.44,0.07,0.17,-1.09
0.01,-0.04,0.04,0.08,-0.02,0.18,-0.05,-0.07,-0.04,0.36,0.30,0.40,-0.07,-0.12,-0.01,-0.27,-0.39,-0.23,-0.23,-0.28,-0.16,-0.65,-1.19,-0.23,-0.17,-0.11,-0.68
0.02,-0.01,0.04,0.12,0.13,0.12,-0.08,-0.28,-0.01,0.30,0.25,0.33,0.02,0.06,-0.03,-0.28,-0.64,-0.18,-0.08,0.32,-0.72,-1.09,-1.54,-0.73,-0.38,-0.12,-0.45
-0.03,0.01,-0.05,0.13,0.07,0.18,-0.19,-0.12,-0.22,0.36,0.40,0.33,0.02,-0.04,0.09,-0.49,-0.54,-0.47,0.74,0.78,0.69,-1.15,-1.22,-1.10,0.84,0.98,-0.36
0.02,0.02,0.01,0.06,0.08,0.03,-0.03,-0.08,-0.01,0.28,0.23,0.30,-0.05,0.03,-0.15,-0.19,-0.33,-0.16,0.06,0.28,-0.28,-0.29,-0.24,-0.33,-0.42,-0.62,-0.59
0.09,0.08,0.09,-0.03,-0.18,0.10,0.20,0.58,0.08,0.36,0.31,0.39,-0.19,-0.33,-0.01,0.07,0.77,-0.12,-0.16,-0.68,0.67,1.23,2.00,0.63,-1.18,-0.86,-0.04
0.22,0.24,0.21,0.13,0.03,0.22,0.31,0.63,0.21,0.68,0.51,0.76,-0.14,-0.14,-0.15,0.11,0.76,-0.07,-0.76,-0.80,-0.69,0.57,1.03,0.21,-0.23,-0.55,0.86
0.47,0.30,0.57,0.42,0.22,0.62,0.52,0.48,0.54,1.06,0.90,1.14,0.08,-0.01,0.19,0.26,0.14,0.29,0.54,0.40,0.78,-0.31,-0.64,-0.05,0.55,0.53,0.81
0.65,0.91,0.50,0.67,0.90,0.45,0.63,0.92,0.54,1.26,1.16,1.32,0.34,0.81,-0.27,0.33,0.73,0.22,-1.71,-1.27,-2.41,0.78,0.79,0.78,0.60,0.66,0.88
0.42,0.24,0.52,0.46,0.20,0.70,0.38,0.33,0.39,1.03,0.92,1.09,0.16,-0.02,0.38,0.03,-0.19,0.09,0.02,-0.13,0.27,-0.81,-1.17,-0.52,-0.58,0.02,0.62
0.66,0.61,0.69,0.81,0.76,0.87,0.50,0.31,0.56,1.05,1.12,1.02,0.71,0.63,0.81,0.19,-0.32,0.32,0.50,-0.00,1.31,-0.72,-1.55,-0.06,-0.97,-0.62,0.40
0.56,0.69,0.49,0.55,0.59,0.52,0.58,0.89,0.47,0.89,0.90,0.88,0.43,0.49,0.35,0.36,0.86,0.23,-0.09,0.02,-0.25,0.90,0.77,1.00,1.05,0.92,1.40
0.51,0.69,0.41,0.57,0.61,0.53,0.46,0.85,0.32,0.53,0.56,0.51,0.63,0.66,0.59,0.38,1.01,0.21,0.70,0.98,0.24,0.86,1.28,0.52,-0.35,-0.31,0.43
0.44,0.55,0.37,0.58,0.66,0.51,0.29,0.34,0.28,0.39,0.53,0.32,0.72,0.76,0.67,0.21,0.05,0.25,0.92,0.91,0.94,-0.67,-0.68,-0.67,0.72,0.65,0.04
0.44,0.53,0.39,0.45,0.53,0.38,0.44,0.54,0.40,0.40,0.47,0.36,0.51,0.58,0.41,0.43,0.49,0.41,0.55,0.52,0.60,0.13,0.35,-0.04,0.63,0.32,1.13
0.33,0.30,0.35,0.43,0.43,0.42,0.24,0.05,0.30,0.26,0.28,0.25,0.52,0.49,0.56,0.22,-0.16,0.32,0.04,-0.42,0.76,-0.18,-0.59,0.15,1.71,1.42,0.52
0.29,0.37,0.25,0.40,0.50,0.31,0.18,0.12,0.21,0.29,0.35,0.26,0.45,0.55,0.33,0.14,-0.09,0.20,-0.33,-0.53,-0.01,-0.74,-0.79,-0.69,0.71,0.72,0.60
0.08,0.01,0.12,0.13,0.04,0.23,0.03,-0.05,0.05,0.08,0.16,0.04,0.16,-0.02,0.38,0.01,-0.17,0.06,0.69,0.01,1.78,-0.76,-0.71,-0.80,0.76,0.95,0.48
0.19,0.23,0.16,0.28,0.42,0.14,0.10,-0.13,0.18,0.00,0.12,-0.06,0.42,0.51,0.32,0.15,-0.30,0.28,0.46,0.25,0.81,-0.79,-1.00,-0.61,0.94,0.75,0.22
0.03,0.20,-0.08,0.17,0.32,0.02,-0.12,-0.05,-0.14,-0.24,-0.07,-0.33,0.39,0.45,0.33,-0.07,-0.02,-0.08,-0.47,-0.59,-0.27,-1.01,-0.58,-1.34,0.83,0.37,1.00
0.13,0.39,-0.02,0.25,0.64,-0.12,0.01,-0.11,0.05,-0.28,-0.06,-0.39,0.53,0.86,0.12,0.16,-0.11,0.23,-0.05,0.13,-0.34,-0.37,-0.47,-0.28,1.57,0.61,-0.22
-0.11,-0.12,-0.10,-0.05,-0.13,0.02,-0.17,-0.09,-0.19,-0.25,-0.09,-0.33,0.06,-0.17,0.36,-0.13,-0.02,-0.17,0.55,0.05,1.35,-0.28,-0.47,-0.12,0.39,0.10,0.19
